Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2024-09-05,4465.05712890625,4488.050837560024,4443.309891049515,4470.094643944536,1688793
2024-09-06,4445.90380859375,4507.952630097115,4429.194572313065,4463.062144566915,1649179
2024-09-09,4438.72119140625,4479.322336995777,4419.717747132072,4444.158122892085,1184938
2024-09-10,4496.87939453125,4528.901370547685,4429.643522557465,4431.638655180384,1385591
2024-09-11,4468.44873046875,4538.278371892955,4460.368345971078,4510.446369372463,1325919
2024-09-12,4506.70556640625,4521.569207181076,4420.515446536548,4499.273502472372,2742216
2024-09-13,4511.59375,4535.934271942614,4494.036484517589,4518.975643699152,1458786
2024-09-16,4502.26611328125,4534.9860931553485,4483.512061637571,4515.982649936126,1155120
2024-09-17,4494.6845703125,4524.761097294854,4455.131163336484,4502.266171726015,1699364
2024-09-18,4335.57275390625,4486.1054138165455,4310.484058436688,4486.1054138165455,2961779
2024-09-19,4285.6943359375,4411.437859533993,4271.379162202061,4379.36571351214,2927551
2024-09-20,4274.4716796875,4320.160507823071,4217.211472313465,4306.393800826241,5447908
2024-09-23,4258.11181640625,4298.912181279105,4242.649538520741,4289.5351553348655,1702319
2024-09-24,4260.90478515625,4280.557036300836,4229.681154489757,4241.3027045829185,3012026
2024-09-25,4264.3466796875,4279.160637143133,4229.681249634481,4242.001291258962,2713073
2024-09-26,4282.0537109375,4306.294379274638,4249.632803399825,4249.632803399825,3964251
2024-09-27,4298.21435546875,4367.345509143133,4289.585016809904,4324.45015580984,3012477
2024-09-30,4258.11181640625,4288.288197440873,4249.682186205689,4276.466939187237,2503416
2024-10-01,4277.46484375,4285.295837362109,4232.624526591957,4245.193473482972,1823365
2024-10-03,4222.44873046875,4268.586171561226,4199.754097282721,4252.226181759991,3350119
2024-10-04,4241.9013671875,4287.540026144247,4213.769802239285,4214.717685076651,2965463
2024-10-07,4262.45166015625,4286.792182729185,4219.107205539069,4263.498910031814,1472619
2024-10-08,4242.89892578125,4268.985187478442,4193.719101329402,4262.201931379196,1541867
2024-10-09,4242.60009765625,4284.547568771769,4236.365307829748,4249.632745743362,1082504
2024-10-10,4217.11181640625,4283.400294035131,4188.382100868689,4242.899003518827,2378875
2024-10-11,4139.1025390625,4231.626819026565,4102.441975303153,4132.917432788369,5759183
2024-10-14,4126.58251953125,4155.26255053153,4112.167978814686,4129.924464040301,2137590
2024-10-15,4106.78076171875,4159.801800402256,4085.034011148583,4120.996081537765,2759474
2024-10-16,4084.984130859375,4104.985384174426,4057.3016656319533,4075.0583947393757,2359151
2024-10-17,4099.0,4119.899209195896,4082.989011889393,4102.790557170616,2522659
2024-10-18,4123.0498046875,4146.14990234375,4080.0,4090.0,2361000
2024-10-21,4079.85009765625,4139.9501953125,4070.0,4132.60009765625,1595450
2024-10-22,4015.5,4089.800048828125,4006.35009765625,4066.0,1928049
2024-10-23,4066.25,4113.5498046875,3995.14990234375,3999.60009765625,1966476
2024-10-24,4047.89990234375,4079.0,4004.0,4004.0,2676744
2024-10-25,4057.550048828125,4092.0,4032.699951171875,4057.050048828125,1759676
2024-10-28,4090.85009765625,4134.0,4051.0,4068.949951171875,1532534
2024-10-29,4075.25,4103.5,4060.10009765625,4095.85009765625,1445885
2024-10-30,4084.64990234375,4107.0,4060.050048828125,4075.0,1935002
2024-10-31,3968.449951171875,4078.300048828125,3960.0,4070.0,3740372
2024-11-01,3984.199951171875,3998.949951171875,3976.050048828125,3989.85009765625,154895
2024-11-04,3964.14990234375,3991.89990234375,3913.25,3966.300048828125,2269192
2024-11-05,3971.35009765625,3986.0,3941.10009765625,3941.10009765625,967590
2024-11-06,4139.64990234375,4149.7998046875,3975.25,4003.60009765625,3792017
2024-11-07,4150.89990234375,4205.7998046875,4085.050048828125,4169.7001953125,3724349
2024-11-08,4147.0,4169.75,4117.64990234375,4155.0,1648039
2024-11-11,4198.7001953125,4234.2998046875,4117.64990234375,4128.2001953125,1406487
2024-11-12,4197.39990234375,4218.0,4164.35009765625,4216.0,1587640
2024-11-13,4150.35009765625,4196.75,4131.0498046875,4178.10009765625,1098813
2024-11-14,4145.89990234375,4160.0,4116.4501953125,4135.0,1825432
2024-11-18,4019.5,4213.0,3990.199951171875,4213.0,3313944
2024-11-19,4039.550048828125,4132.14990234375,4014.10009765625,4019.89990234375,1776233
2024-11-21,4072.85009765625,4092.449951171875,4024.0,4044.89990234375,2384347
2024-11-22,4244.60009765625,4254.9501953125,4054.0,4071.0,3096553
2024-11-25,4315.10009765625,4328.10009765625,4252.2001953125,4280.0,4052167
2024-11-26,4352.7001953125,4366.60009765625,4310.0,4321.0498046875,2060669
2024-11-27,4332.5498046875,4377.39990234375,4324.0498046875,4358.9501953125,1558993
2024-11-28,4244.89990234375,4339.9501953125,4233.0,4319.0,2558544
2024-11-29,4270.85009765625,4298.7001953125,4195.64990234375,4220.0,2017425
2024-12-02,4276.64990234375,4288.2001953125,4230.0498046875,4270.0,1670944
2024-12-03,4302.75,4325.0,4265.4501953125,4314.35009765625,2010905
2024-12-04,4354.39990234375,4386.9501953125,4289.0498046875,4313.5498046875,3302642
2024-12-05,4464.0498046875,4489.0,4360.0,4400.7998046875,3746747
2024-12-06,4445.5,4465.0,4412.75,4453.0,1842087
2024-12-09,4452.14990234375,4469.39990234375,4415.5498046875,4430.4501953125,2066639
2024-12-10,4432.5498046875,4493.7998046875,4412.10009765625,4426.14990234375,2087828
2024-12-11,4427.4501953125,4448.64990234375,4407.0,4431.85009765625,1635256
2024-12-12,4454.9501953125,4485.0,4426.0,4430.0498046875,1914642
2024-12-13,4473.89990234375,4494.89990234375,4394.39990234375,4434.9501953125,1967048
2024-12-16,4415.2001953125,4475.0,4397.0,4459.0,1646224
2024-12-17,4328.5,4432.9501953125,4318.0,4410.0,3225027
2024-12-18,4347.85009765625,4362.0,4289.60009765625,4311.7001953125,1575404
2024-12-19,4271.89990234375,4364.0,4262.0,4282.0,3015763
2024-12-20,4170.2998046875,4382.0,4152.5,4329.0,4116989
2024-12-23,4158.2998046875,4217.0,4114.89990234375,4200.0498046875,2195338
2024-12-24,4179.5,4218.0,4158.2998046875,4158.2998046875,1181886
2024-12-26,4169.10009765625,4199.9501953125,4143.14990234375,4179.5,1208464
2024-12-27,4164.85009765625,4180.9501953125,4147.25,4163.0,858100
2024-12-30,4158.7998046875,4199.2998046875,4112.0,4151.0,1527169
2024-12-31,4094.800048828125,4139.9501953125,4032.050048828125,4135.0,1555429
2025-01-01,4112.4501953125,4134.0,4085.449951171875,4094.39990234375,763161
2025-01-02,4175.75,4183.0,4096.9501953125,4120.0,1720835
2025-01-03,4099.89990234375,4179.9501953125,4092.300048828125,4179.9501953125,1791953
2025-01-06,4095.0,4149.64990234375,4066.39990234375,4105.5,2085593
2025-01-07,4028.300048828125,4140.35009765625,4011.550048828125,4114.9501953125,2669054
2025-01-08,4108.39990234375,4126.0,4017.75,4034.89990234375,2181277
2025-01-09,4038.85009765625,4137.75,4025.300048828125,4101.0,2392472
2025-01-10,4265.64990234375,4297.0,4170.0,4200.0,7894300
2025-01-13,4291.10009765625,4322.9501953125,4227.39990234375,4245.0,4003771
2025-01-14,4233.0498046875,4313.89990234375,4219.0498046875,4302.0,3441659
